winery,region_1,province,country
Martin Ranch,Arroyo Seco,California,US
Martinsancho,Rueda,Northern Spain,Spain
Medici Ermete,,Central Italy,Italy
Midnight,North Coast,California,US
Muddy Boot,California,California,US
Nada Fiorenzo,Barbaresco,Piedmont,Italy
Pascal Rollet,Saint-Véran,Burgundy,France
Pascal Rollet,Pouilly-Fuissé,Burgundy,France
Domaine Sangouard-Guyot,Saint-Véran,Burgundy,France
Grande River,Grand Valley,Colorado,US
Herdade de São Miguel,,Alentejano,Portugal
La Chablisienne,Petit Chablis,Burgundy,France
Lyeth,California,California,US
François Lurton,Mendoza,Mendoza Province,Argentina
Canyon Wind,Grand Valley,Colorado,US
Casa de Vila Verde,,Vinho Verde,Portugal
Sno Road,Columbia Valley (OR),Oregon,US
Summit Lake,Howell Mountain,California,US
J. Moreau & Fils,Chablis,Burgundy,France
V. Sattui,Alexander Valley,California,US
Vignerons des Terres Secrètes,Mâcon-Villages,Burgundy,France
Compilation,Rutherford,California,US
Custard,Sonoma Valley,California,US
Dão Sul,,Dão,Portugal
Domaine Michel,Mâcon-Villages,Burgundy,France
Baron Widmann,Alto Adige,Northeastern Italy,Italy
Cantina Produttori Cortaccia,Alto Adige,Northeastern Italy,Italy
Clos du Val,Stags Leap District,California,US
Colene Clemens,Willamette Valley,Oregon,US
Domaine de l'Idylle,Roussette de Savoie,France Other,France
Domaine du Haut Bourg,Muscadet Côtes de Grandlieu,Loire Valley,France
Flaherty,,Aconcagua Valley,Chile
VML,Russian River Valley,California,US
WildAire,Rogue Valley,Oregon,US
Ottella,Lugana,Lombardy,Italy
Perescuma,,Alentejano,Portugal
Pratello,Lugana,Lombardy,Italy
Quinta do Monte d'Oiro,,Lisboa,Portugal
Ravenswood,Napa Valley,California,US
Renteria,Mount Veeder,California,US
Seghesio,Sonoma County,California,US
Doubleback,Walla Walla Valley (WA),Washington,US
Nickel & Nickel,Oakville,California,US
Von Strasser,Diamond Mountain District,California,US
Sirius,Mendocino County,California,US
Stottle,Yakima Valley,Washington,US
Dr. Loosen & J. Christopher,Willamette Valley,Oregon,US
Gary Farrell,Santa Maria Valley,California,US
Markus Molitor,,Mosel,Germany
King Estate,Oregon,Oregon,US
Failla,Sonoma Coast,California,US
Chateau Chevalier,Spring Mountain District,California,US
Acordeón,Mendoza,Mendoza Province,Argentina
Château d'Arlay,Côtes du Jura,France Other,France
Drouet Frères,Sancerre,Loire Valley,France
Miracle Valley,Virginia,Virginia,US
Prince Michel,Virginia,Virginia,US
Raymond,California,California,US
Thacher,Paso Robles,California,US
Tiago Teles,,Bairrada,Portugal
Tower 15,Paso Robles,California,US
Montpellier,California,California,US
Natale Verga,Chianti Classico,Tuscany,Italy
Marquis de la Tour,Vin Mousseux,France Other,France
Quinta da Maritávora,,Port,Portugal
Remy-Pannier,Vouvray,Loire Valley,France
Road i Red,California,California,US
Sobon Estate,California,California,US
Anemoi,Grand Valley,Colorado,US
Colle Bereto,Chianti Classico,Tuscany,Italy
Vignaioli del Morellino di Scansano,Morellino di Scansano,Tuscany,Italy
Milliaire,Calaveras County,California,US
Andreola,Valdobbiadene Prosecco Superiore,Veneto,Italy
Bouvet-Ladubay,Saumur,Loire Valley,France
Les Frères Couillaud,Muscadet Sèvre et Maine,Loire Valley,France
Siduri,Russian River Valley,California,US
Nino Franco,Valdobbiadene Prosecco Superiore,Veneto,Italy
Cave de Cleebourg,Crémant d'Alsace,Alsace,France
Cave du Roi Dagobert,Crémant d'Alsace,Alsace,France
Clay Pigeon,Columbia Valley (OR),Oregon,US
DanCin,Southern Oregon,Oregon,US
De Toren,,Stellenbosch,South Africa
Decroux,Sta. Rita Hills,California,US
Domaine Fernand Engel,Alsace,Alsace,France
Forrest,,Marlborough,New Zealand
Framingham,,Marlborough,New Zealand
Henriet-Bazin,Champagne,Champagne,France
Jean de la Fontaine,Champagne,Champagne,France
La Tordera,Valdobbiadene Prosecco Superiore,Veneto,Italy
Lombard et Cie,Champagne,Champagne,France
Noble Vines,San Bernabe,California,US
Paix Sur Terre,Adelaida District,California,US
Paskett,Lodi,California,US
Rioja Vega,Rioja,Northern Spain,Spain
Roark Wine Co.,Santa Ynez Valley,California,US
Easton,Fiddletown,California,US
Rasa,Walla Walla Valley (OR),Oregon,US
Tenuta Montanello,Barolo,Piedmont,Italy
William Fèvre,Chablis,Burgundy,France
Valdez,Alexander Valley,California,US
Vigne Surrau,Vermentino di Gallura,Sicily & Sardinia,Italy
Luigi Oddero & Figli,Barbaresco,Piedmont,Italy
Penfolds,South Australia,South Australia,Australia
Pio Cesare,Barbaresco,Piedmont,Italy
Sequum,Dry Creek Valley,California,US
Albert Bichot,Chablis,Burgundy,France
Albino Rocca,Barbaresco,Piedmont,Italy
Baxter,Anderson Valley,California,US
Beauregard,Ben Lomond Mountain,California,US
Bodega Renacer,Mendoza,Mendoza Province,Argentina
Delmas,Walla Walla Valley (OR),Oregon,US
John Duval Wines,Barossa,South Australia,Australia
Famiglia Cielo,Veneto,Veneto,Italy
Fleur Du Cap,,South Africa,South Africa
Tikal,Mendoza,Mendoza Province,Argentina
Tussock Jumper,,Western Cape,South Africa
Kitchen Sink,California,California,US
Castle Rock,Columbia Valley (WA),Washington,US
De Stefani,Prosecco,Veneto,Italy
Domaine de Grange Neuve,Bergerac Sec,Southwest France,France
Ironstone,Lodi,California,US
Mauricio Lorca,Mendoza,Mendoza Province,Argentina
Ngumu,,Western Cape,South Africa
Bodega Las Cañitas,Argentina,Other,Argentina
Valdo,Valdobbiadene Superiore di Cartizze,Veneto,Italy
Zorzal,Tupungato,Mendoza Province,Argentina
Adega de Cantanhede,,Beira Atlantico,Portugal
Angeline,Mendocino County,California,US
Indaba,,Western Cape,South Africa
Caparzo,Maremma,Tuscany,Italy
Château de Pennautier,Vin de Pays d'Oc,Languedoc-Roussillon,France
Corte Cariano,Veneto,Veneto,Italy
Hafner,,Burgenland,Austria
Olivini,Lugana,Lombardy,Italy
Olson Ogden,Russian River Valley,California,US
Sausal,Alexander Valley,California,US
Stone Paddock,,Hawke's Bay,New Zealand
Blue Cove,,Western Cape,South Africa
Cairnbrae,,Marlborough,New Zealand
Coniglio,Oakville,California,US
Domaines Barons de Rothschild (Lafite),Vin de Pays d'Oc,Languedoc-Roussillon,France
Fairvalley,,Western Cape,South Africa
Fortant,Vin de Pays d'Oc,Languedoc-Roussillon,France
Silver Lake,Rattlesnake Hills,Washington,US
Château Ducru Beaucaillou,Saint-Julien,Bordeaux,France
Domaine de Chevalier,Pessac-Léognan,Bordeaux,France
Le Dôme,Saint-Émilion,Bordeaux,France
B Cellars,St. Helena,California,US
B Cellars,Oakville,California,US
Numanthia,Toro,Northern Spain,Spain
Larmandier-Bernier,Champagne,Champagne,France
Castello Banfi,Brunello di Montalcino,Tuscany,Italy
Château Bélair-Monange,Saint-Émilion,Bordeaux,France
Château Haut-Bailly,Pessac-Léognan,Bordeaux,France
Vieux Château Mazerat,Saint-Émilion,Bordeaux,France
Les Astéries,Saint-Émilion,Bordeaux,France
Tarlant,Champagne,Champagne,France
Villa Spinosa,Amarone della Valpolicella Classico,Veneto,Italy
Pascal Bouchard,Chablis,Burgundy,France
Punch,California,California,US
Sleight of Hand,Columbia Valley (WA),Washington,US
Sleight of Hand,Yakima Valley,Washington,US
Sleight of Hand,Walla Walla Valley (WA),Washington,US
Del Dotto,Sonoma Coast,California,US
Domaine Heresztyn,Morey-Saint-Denis,Burgundy,France
Domaine Vincent Girardin,Volnay,Burgundy,France
Fabiano,Amarone della Valpolicella Classico,Veneto,Italy
D.G. Viticultors,Spain,Spain Other,Spain
Inniskillin,Niagara Peninsula,Ontario,Canada
Le Salette,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Joseph Drouhin,Chassagne-Montrachet,Burgundy,France
Rosenblum,Rockpile,California,US
Rubinelli Vajol,Amarone della Valpolicella Classico,Veneto,Italy
Soos Creek,Columbia Valley (WA),Washington,US
Alpha Omega,Napa Valley,California,US
Brunelli,Amarone della Valpolicella Classico,Veneto,Italy
Del Bondio,Rutherford,California,US
Montefrasco,Montepulciano d'Abruzzo,Central Italy,Italy
Château Bianca,Willamette Valley,Oregon,US
Quinta do Romeu,,Douro,Portugal
Sonoma Collection,Sonoma County,California,US
Meeker,Dry Creek Valley,California,US
Altos de Cristimil,Rías Baixas,Galicia,Spain
Marques Escriba,Jumilla,Levante,Spain
Bodegas Lozano,Spain,Spain Other,Spain
Il Chiosso,Ghemme,Piedmont,Italy
Marqués de Vargas,Ribera del Duero,Northern Spain,Spain
Pigro,Montepulciano d'Abruzzo,Central Italy,Italy
Quara,Cafayate,Other,Argentina
Roncão,,Douro,Portugal
Haarth,Argentina,Other,Argentina
Hacienda del Carche,Cava,Catalonia,Spain
Josep Grau Viticultor,Montsant,Catalonia,Spain
Via Revolucionaria,Mendoza,Mendoza Province,Argentina
Altos de Torona,Rías Baixas,Galicia,Spain
Domaine Patrick Javillier,Bourgogne,Burgundy,France
Finca Vieja,La Mancha,Central Spain,Spain
Jeunesse,California,California,US
Lupé-Cholet,Bourgogne,Burgundy,France
2 Lads,Old Mission Peninsula,Michigan,US
Mount Pleasant Winery,Missouri,Missouri,US
Domaine L. Chatelain,Chablis,Burgundy,France
L. Tramier & Fils,Bourgogne,Burgundy,France
Louis Jadot,Bourgogne,Burgundy,France
André Guichot,Bourgogne,Burgundy,France
Vivác Winery,New Mexico,New Mexico,US
Gladium,La Mancha,Central Spain,Spain
Mount Pleasant Winery,,America,US
Truro,Southeastern New England,Massachusetts,US
Bodegas Navarro López,Valdepeñas,Central Spain,Spain
Jaume Serra,Cava,Catalonia,Spain
Pierre André,Bourgogne,Burgundy,France
Domaine Verret et Fils,Chablis,Burgundy,France
Georges Duboeuf,Mâcon-Villages,Burgundy,France
Debonné,Grand River Valley,Ohio,US
Middle Sister,California,California,US
Thirsty Owl Wine Company,Finger Lakes,New York,US
Flying Leap,Sonoita,Arizona,US
Barnstormer,Seneca Lake,New York,US
Clos du Lac,Sierra Foothills,California,US
Falernia,,Elqui Valley,Chile
Viña La Fortuna,,Lontué Valley,Chile
Adirondack Winery,New York,New York,US
Bowers Harbor,Old Mission Peninsula,Michigan,US
Intipalka,,Ica,Peru
Lobster Reef,,Marlborough,New Zealand
Millaman,,Curicó Valley,Chile
Lookout Ridge,Sonoma Mountain,California,US
Olivier Leflaive,Corton-Charlemagne,Burgundy,France
Xavier Monnot,Meursault,Burgundy,France
Fielding Hills,Wahluke Slope,Washington,US
Royal Tokaji,,Tokaji,Hungary
Sheridan Vineyard,Yakima Valley,Washington,US
Dutton-Goldfield,Sonoma Coast,California,US
Chanson Père et Fils,Puligny-Montrachet,Burgundy,France
Lost Canyon,Russian River Valley,California,US
Mark Ryan,Columbia Valley (WA),Washington,US
Olivier Leflaive,Puligny-Montrachet,Burgundy,France
Roberts & Rogers,Howell Mountain,California,US
Quivet Cellars,Carneros,California,US
The Foundry,,Coastal Region,South Africa
Villa Cerna,Chianti Classico,Tuscany,Italy
Gagliole,Chianti Classico,Tuscany,Italy
Guilbaud Frères,Muscadet Sèvre et Maine,Loire Valley,France
Cameron Hughes,Russian River Valley,California,US
Casa alle Vacche,Vernaccia di San Gimignano,Tuscany,Italy
Castello Vicchiomaggio,Chianti Classico,Tuscany,Italy
D'Argenzio,Russian River Valley,California,US
Domaine du Clos du Fief,Juliénas,Beaujolais,France
Domaine Philippe Delesvaux,Anjou,Loire Valley,France
Vagnoni,Vernaccia di San Gimignano,Tuscany,Italy
Valle Frio,,Maule Valley,Chile
Villa Poggio Salvi,Chianti Colli Senesi,Tuscany,Italy
Williams Selyem,Central Coast,California,US
Le Solive,Vernaccia di San Gimignano,Tuscany,Italy
Mount Nelson,,Marlborough,New Zealand
Remy-Pannier,Muscadet Sèvre et Maine,Loire Valley,France
Remy-Pannier,Sancerre,Loire Valley,France
Sbragia,Dry Creek Valley,California,US
Serdonis,Howell Mountain,California,US
Seven Terraces,,Marlborough,New Zealand
Shark Trust,,Western Cape,South Africa
Kellerei Kaltern Caldaro,Alto Adige,Northeastern Italy,Italy
Janzen,Napa Valley,California,US
Kendall-Jackson,Sonoma County,California,US
La Tordera,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Le P'tit Paysan,San Benito County,California,US
Monte delle Vigne,Emilia,Central Italy,Italy
Pfendler,Sonoma Coast,California,US
Podere Guado al Melo,Toscana,Tuscany,Italy
Season,Southern Oregon,Oregon,US
Stonestreet,Alexander Valley,California,US
Storyteller,Sonoma County,California,US
Sutcliffe,Sonoma Valley,California,US
Sutcliffe,Carneros,California,US
Altavins,Terra Alta,Catalonia,Spain
Tenuta Olim Bauda,Piedmont,Piedmont,Italy
Husch,Anderson Valley,California,US
Cava Aragon,,San Vicente,Mexico
Chiarello Family Vineyards,St. Helena,California,US
Coppo,Piedmont,Piedmont,Italy
B.R. Cohn,Russian River Valley,California,US
Castello Banfi,Toscana,Tuscany,Italy
Nugan Family Estates,King Valley,Victoria,Australia
Pegasus Bay,,Waipara Valley,New Zealand
Ruffino,Toscana,Tuscany,Italy
Simonnet-Febvre,Crémant de Bourgogne,Burgundy,France
Hopper Creek,Sonoma Valley,California,US
David Arthur,Napa Valley,California,US
Domaine de la Mordorée,Tavel,Rhône Valley,France
Domaine Faiveley,Pommard,Burgundy,France
Sticks,Yarra Valley,Victoria,Australia
Te Awa,,Hawke's Bay,New Zealand
Maison Jessiaume,Clos de Vougeot,Burgundy,France
Padilla Erickson,Napa Valley,California,US
Force Majeure,Red Mountain,Washington,US
Sanguis,Santa Barbara County,California,US
Sanguis,Sta. Rita Hills,California,US
Sanguis,Central Coast,California,US
Sparkman,Yakima Valley,Washington,US
Sula,,Nashik,India
Barons,Columbia Valley (WA),Washington,US
Côtes de Ciel,Red Mountain,Washington,US
Double Canyon,Horse Heaven Hills,Washington,US
Gaja,Langhe,Piedmont,Italy
Quintessa,Rutherford,California,US
Viberti,Barolo,Piedmont,Italy
Diamond Creek,Napa Valley,California,US
Poderi Colla,Barbaresco,Piedmont,Italy
Red Car,Fort Ross-Seaview,California,US
René Muré,Alsace,Alsace,France
Sottimano,Barbaresco,Piedmont,Italy
La Braccesca,Cortona,Tuscany,Italy
La Crema,Sonoma Coast,California,US
Wiston Estate Winery,,England,England
Mt. Brave,Mount Veeder,California,US
Northstar,Columbia Valley (WA),Washington,US
Onesta,Lodi,California,US
Palmina,Santa Barbara County,California,US
Artadi,Alicante,Levante,Spain
Brovia,Barbera d'Alba,Piedmont,Italy
Casa Donoso,,Maule Valley,Chile
Covington,Columbia Valley (WA),Washington,US
Domaine de la Petite Cassagne,Costières de Nîmes,Rhône Valley,France
Duemani,Costa Toscana,Tuscany,Italy
Hermann J. Wiemer,Seneca Lake,New York,US
Lawrelin,Columbia Valley (WA),Washington,US
Nacido del Quórum,Jumilla,Levante,Spain
Tre Monti,Albana di Romagna,Central Italy,Italy
Domaine Chandon de Briailles,Pernand-Vergelesses,Burgundy,France
Gorman,Red Mountain,Washington,US
Joseph Drouhin,Grands-Echezeaux,Burgundy,France
Joseph Drouhin,Chambolle-Musigny,Burgundy,France
Coquelicot,Happy Canyon of Santa Barbara,California,US
Domaine des Comtes Lafon,Volnay,Burgundy,France
Domaine Henri Gouges,Nuits-St.-Georges,Burgundy,France
Domaine Parent,Pommard,Burgundy,France
Abeja,Washington,Washington,US
Atlas Peak,Napa Valley,California,US
La Poderina,Moscadello di Montalcino,Tuscany,Italy
Robert Craig,Howell Mountain,California,US
Domaine de Courcel,Pommard,Burgundy,France
Henri de Villamont,Mazis-Chambertin,Burgundy,France
Château Saint-Pierre,Saint-Julien,Bordeaux,France
De Loach,Marin County,California,US
Dry Creek Vineyard,Clarksburg,California,US
Fattoria La Lecciaia,Brunello di Montalcino,Tuscany,Italy
Giovanni Chiappini,Bolgheri,Tuscany,Italy
Kessler-Haak,Sta. Rita Hills,California,US
La Collina dei Lecci,Brunello di Montalcino,Tuscany,Italy
Pacific Rim,Columbia Valley (WA),Washington,US
Poggio Antico,Brunello di Montalcino,Tuscany,Italy
Schwarzböck,,Niederösterreich,Austria
Wölffer,"The Hamptons, Long Island",New York,US
ZaHa,Mendoza,Mendoza Province,Argentina
Hubert Weber,Mendoza,Mendoza Province,Argentina
Château Andron Blanquet,Saint-Estèphe,Bordeaux,France
Château Charmail,Haut-Médoc,Bordeaux,France
Château Grand Bertin de Saint Clair,Médoc,Bordeaux,France
Château la Patache,Pomerol,Bordeaux,France
Château Lestage Simon,Haut-Médoc,Bordeaux,France
Louis Métaireau,Muscadet Sèvre et Maine,Loire Valley,France
Dancing Coyote,Clarksburg,California,US
Chamonix,,Franschhoek,South Africa
Hamilton Russell,,Walker Bay,South Africa
Bastianich,Venezia Giulia,Northeastern Italy,Italy
Clos Triguedina,Vin de Pays du Comté Tolosan,Southwest France,France
Oak Grove,California,California,US
Pago de los Capellanes,Ribera del Duero,Northern Spain,Spain
Phelps Creek,Columbia Gorge (OR),Oregon,US
Producteurs Plaimont,Madiran,Southwest France,France
Black Rock,,Swartland,South Africa
Bodegas Vidal Soblechero,Rueda,Northern Spain,Spain
Pieve Santa Restituta,Brunello di Montalcino,Tuscany,Italy
Hawley,Russian River Valley,California,US
San Filippo di Giannelli,Brunello di Montalcino,Tuscany,Italy
Smashberry,Central Coast,California,US
Terre Nere di Campigli - Vallone,Brunello di Montalcino,Tuscany,Italy
3 Horse Ranch Vineyards,,Idaho,US
Baron De Ley,Rioja,Northern Spain,Spain
Bodega Otto Bestué,Somontano,Northern Spain,Spain
Château Baracan,Cadillac Côtes de Bordeaux,Bordeaux,France
Château Carignan,Cadillac Côtes de Bordeaux,Bordeaux,France
Château Côte Montpezat,Castillon Côtes de Bordeaux,Bordeaux,France
Château Suau,Cadillac Côtes de Bordeaux,Bordeaux,France
PasoPort,Paso Robles,California,US
Peter Cellars,Carneros,California,US
Ridolfi,Brunello di Montalcino,Tuscany,Italy
Sawtooth,,Idaho,US
Seagrape,Sta. Rita Hills,California,US
Le Chiuse,Brunello di Montalcino,Tuscany,Italy
Londer,Anderson Valley,California,US
Montevannos,Ribera del Duero,Northern Spain,Spain
Pannier,Champagne,Champagne,France
Avanthia,Valdeorras,Northern Spain,Spain
Casanuova delle Cerbaie,Brunello di Montalcino,Tuscany,Italy
Casato1,Brunello di Montalcino,Tuscany,Italy
Castiglion del Bosco,Brunello di Montalcino,Tuscany,Italy
Cava d'Onice,Brunello di Montalcino,Tuscany,Italy
Viñas del Cenit,Tierra del Viños de Zamora,Northern Spain,Spain
Yann Alexandre,Champagne,Champagne,France
Domaine Chandon,Carneros,California,US
Fossacolle,Brunello di Montalcino,Tuscany,Italy
Gianni Brunelli,Brunello di Montalcino,Tuscany,Italy
Altesino,Brunello di Montalcino,Tuscany,Italy
Anthony Road,Finger Lakes,New York,US
Bonacchi,Brunello di Montalcino,Tuscany,Italy
Château Manon la Lagune,Blaye Côtes de Bordeaux,Bordeaux,France
Il Marroneto,Brunello di Montalcino,Tuscany,Italy
Baron Albert,Champagne,Champagne,France
Bellenda,Valdobbiadene Prosecco Superiore,Veneto,Italy
Bortolomiol,Valdobbiadene Prosecco Superiore,Veneto,Italy
Bressia,Mendoza,Mendoza Province,Argentina
Viñas del Cenit,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Terre di San Venanzio Fortunato,Valdobbiadene Prosecco Superiore,Veneto,Italy
Canard-Duchêne,Champagne,Champagne,France
Cave de Turckheim,Crémant d'Alsace,Alsace,France
Cave Spring,Niagara Escarpment,Ontario,Canada
Cinnabar,Contra Costa County,California,US
Colomé,Salta,Other,Argentina
Dr. Leimbrock,,Mosel,Germany
Emile Leclère,Champagne,Champagne,France
Fuchs und Hase,,Weinland Österreich,Austria
Goose Bay,,South Island,New Zealand
Guerrieri Rizzardi,Soave Classico,Veneto,Italy
Inurrieta,Navarra,Northern Spain,Spain
Le Colture,Valdobbiadene Prosecco Superiore,Veneto,Italy
Legras & Haas,Champagne,Champagne,France
Misty Cove,,Marlborough,New Zealand
St. Innocent,Willamette Valley,Oregon,US
Stephen Ross,Paso Robles,California,US
Studert-Prüm,,Mosel,Germany
Tercero,Santa Barbara County,California,US
Adami,Valdobbiadene Superiore di Cartizze,Veneto,Italy
Ca'Ronesca,Collio,Northeastern Italy,Italy
Castello di Buttrio,Friuli Colli Orientali,Northeastern Italy,Italy
Mogollon,Uco Valley,Mendoza Province,Argentina
Von Der Leyen,,Nahe,Germany
Griffin Creek,Rogue Valley,Oregon,US
Dorigo,Friuli Colli Orientali,Northeastern Italy,Italy
Erste Neue,Alto Adige,Northeastern Italy,Italy
Fiegl,Collio,Northeastern Italy,Italy
Fruscalzo,Collio,Northeastern Italy,Italy
Gigante,Friuli Colli Orientali,Northeastern Italy,Italy
Gooseneck,Oregon,Oregon,US
Domaine Le Billoud,Mendoza,Mendoza Province,Argentina
Meran,Alto Adige,Northeastern Italy,Italy
Mezzacorona,Trentino,Northeastern Italy,Italy
Nathaniel Rose,Lake Michigan Shore,Michigan,US
Petrucco,Friuli Colli Orientali,Northeastern Italy,Italy
Pflücken,,Mosel,Germany
Salentein,Valle de Uco,Mendoza Province,Argentina
Kris,Delle Venezie,Northeastern Italy,Italy
Domaine de l'Ecu,Muscadet Sèvre et Maine,Loire Valley,France
Flowers,Sonoma Coast,California,US
Au Bon Climat,Santa Maria Valley,California,US
Bonnet-Huteau,Muscadet Sèvre et Maine,Loire Valley,France
Brewer-Clifton,Sta. Rita Hills,California,US
Les Belles Collines,Russian River Valley,California,US
Merry Edwards,Russian River Valley,California,US
Paul Hobbs,St. Helena,California,US
Ad Vivum,Yountville,California,US
Chanin,Sta. Rita Hills,California,US
Senses,Sonoma Coast,California,US
Wrath,Santa Lucia Highlands,California,US
Herdade das Servas,,Alentejano,Portugal
Château de Bel-Air,Lalande de Pomerol,Bordeaux,France
Mitchelton,Central Victoria,Victoria,Australia
Müller-Catoir,,Pfalz,Germany
Pfeffingen,,Pfalz,Germany
Sesti,Brunello di Montalcino,Tuscany,Italy
Podere Paganico,Brunello di Montalcino,Tuscany,Italy
J.L. Wolf,,Pfalz,Germany
Ökonomierat Rebholz,,Pfalz,Germany
Château Franc-Cardinal,Bordeaux Côtes de Francs ,Bordeaux,France
Château Haut Beyzac,Haut-Médoc,Bordeaux,France
Vèscine,Chianti Classico,Tuscany,Italy
Reyes,California,California,US
Santi,Valpolicella Superiore,Veneto,Italy
Séamus Wines,Russian River Valley,California,US
Tenuta Casaletti,Valpolicella,Veneto,Italy
Uphill Vineyards,Amador County,California,US
Veramar,Shenandoah Valley,Virginia,US
Viñedo de los Vientos,,Atlantida,Uruguay
Vini,,Thracian Valley,Bulgaria
Adega Vila Real,,Douro,Portugal
Agustinos,,Bío Bío Valley,Chile
Arbor Bench Vineyards,Dry Creek Valley,California,US
Château Gardut Haut Cluzeau,Blaye Côtes de Bordeaux,Bordeaux,France
Château La Fleur Ribeyrolles,Entre-Deux-Mers,Bordeaux,France
Clairault,Margaret River,Western Australia,Australia
Delibori,Bardolino Classico,Veneto,Italy
Feist,California,California,US
Hardys,South Eastern Australia,Australia Other,Australia
Karah Estate,Sonoma Coast,California,US
Les Rocailles,Savoie,France Other,France
Haka by Labyrinth,Paso Robles,California,US
Krutz,Napa Valley,California,US
Monchiero Carbone,Langhe,Piedmont,Italy
Batič,,Vipavska Dolina,Slovenia
Borgognot,Barolo,Piedmont,Italy
Ca' del Baio,Langhe,Piedmont,Italy
Charles Sparr,Alsace,Alsace,France
Château Henri Bonnaud,Palette,Provence,France
Château la Coste,Coteaux d'Aix-en-Provence,Provence,France
Château Lagrave,Saint-Émilion,Bordeaux,France
Château le Moulin d'Ulysse,Haut-Médoc,Bordeaux,France
Domaine Gérard Neumeyer,Alsace,Alsace,France
Elvio Cogno,Barbaresco,Piedmont,Italy
Wise Villa,Sierra Foothills,California,US
Château Terrasson,Castillon Côtes de Bordeaux,Bordeaux,France
Cleto Chiarli,Lambrusco Grasparossa di Castelvetro,Central Italy,Italy
Château de Palayson,Var,Provence,France
Château des Matards,Blaye Côtes de Bordeaux,Bordeaux,France
Columbia Winery,Horse Heaven Hills,Washington,US
Comartin,Central Coast,California,US
Hugel,Alsace,Alsace,France
Hobo,Dry Creek Valley,California,US
La Montina,Franciacorta,Lombardy,Italy
La Valle,Franciacorta,Lombardy,Italy
Valli,,Central Otago,New Zealand
William Harrison,Rutherford,California,US
Brion,Napa Valley,California,US
Craggy Range,,Hawke's Bay,New Zealand
Peju,Rutherford,California,US
Barnett,Spring Mountain District,California,US
Brittan Vineyards,Willamette Valley,Oregon,US
Château Coutet,Saint-Émilion,Bordeaux,France
Teso La Monja,Toro,Northern Spain,Spain
Kendall-Jackson,Knights Valley,California,US
Miraflores,California,California,US
Hobo,Rockpile,California,US
Bernier,Val de Loire,Loire Valley,France
Campelo,,Vinho Verde,Portugal
Ricordi,Mendoza,Mendoza Province,Argentina
Halleck,Russian River Valley,California,US
Henry Estate,Umpqua Valley,Oregon,US
Ramspur,Carneros,California,US
Aljibes,Vino de la Tierra de Castilla,Central Spain,Spain
Buena Vista,Carneros,California,US
Clément Bosquet,Cahors,Southwest France,France
Domaine d'Arton,Côtes de Gascogne,Southwest France,France
Castro Martin,Rías Baixas,Galicia,Spain
Vieira de Plata,Rías Baixas,Galicia,Spain
Paso a Paso,Vino de la Tierra de Castilla,Central Spain,Spain
Château Laulerie,Bergerac Sec,Southwest France,France
Egeo,Rueda,Northern Spain,Spain
Costa di Bussia,Barbera d'Alba,Piedmont,Italy
Fowles Wine,Victoria,Victoria,Australia
Wente,Livermore Valley,California,US
Folie à Deux,Napa Valley,California,US
Gimenez Riili,La Rioja,Other,Argentina
Achaval-Ferrer,Mendoza,Mendoza Province,Argentina
Baywood,California,California,US
Louis d'Armont,Bourgogne,Burgundy,France
De Bortoli,Yarra Valley,Victoria,Australia
Giant Steps,Yarra Valley,Victoria,Australia
Verve,Sonoma Coast,California,US
Deerfield Ranch,North Coast,California,US
Arns,Napa Valley,California,US
Jacuzzi,Lake County,California,US
Bodega Don Bosco,Maipú,Mendoza Province,Argentina
Finca El Origen,Uco Valley,Mendoza Province,Argentina
Pascual Toso,Maipú,Mendoza Province,Argentina
Cockburn's,,Port,Portugal
Cyatho,Rueda,Northern Spain,Spain
De Faveri,Valdobbiadene Prosecco Superiore,Veneto,Italy
Domaine Fernand Engel,Crémant d'Alsace,Alsace,France
Domaine François Schmitt,Crémant d'Alsace,Alsace,France
Dorigo,Vino Spumante,Italy Other,Italy
Primarius,Oregon,Oregon,US
Siduri,Sonoma County,California,US
Simonsig,,Western Cape,South Africa
Il Follo,Valdobbiadene Prosecco Superiore,Veneto,Italy
La Gioiosa,Valdobbiadene Prosecco Superiore,Veneto,Italy
Villa Sandi,Valdobbiadene Prosecco Superiore,Veneto,Italy
Vivanco,Rioja,Northern Spain,Spain
Zardetto,Valdobbiadene Prosecco Superiore,Veneto,Italy
François Lurton,Valle de Uco,Mendoza Province,Argentina
Joullian,Carmel Valley,California,US
Torii Mor,Chehalem Mountains,Oregon,US
Hedgeline,Oregon,Oregon,US
Chilcas,,Casablanca Valley,Chile
Ciavolich Giuseppe,Montepulciano d'Abruzzo,Central Italy,Italy
Clos des Augustins,Coteaux du Languedoc Pic Saint Loup,Languedoc-Roussillon,France
Vigne & Vini,Primitivo del Salento,Southern Italy,Italy
Indigené,Carmel Valley,California,US
Niepoort,,Port,Portugal
Quails' Gate,Okanagan Valley,British Columbia,Canada
Palladino,Barbera d'Alba Superiore,Piedmont,Italy
Altamura,Napa Valley,California,US
Guy Saget,Vin de France,France Other,France
Pinanfarina,Napa Valley,California,US
Longoria,Santa Ynez Valley,California,US
Château Musar,,Bekaa Valley,Lebanon
Geyser Peak,California,California,US
